Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
2.688860458333334,65,DATA,0x05FB318A,0x7,0x0C 0x66 0x10 0xC2 0x10 0x84 0x21,0x0421,ACK
2.708837583333333,66,DATA,0x5B5,0xD,0xC4 0x3D 0x88 0x62 0x30 0x86 0x10 0x84,0x10F5,ACK
2.726834958333333,67,DATA,0x1EA87188,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
2.746835458333333,68,DATA,0x175,0x1,0xC6,0x1894,ACK
2.766836000000000,69,DATA,0x555,0x1,0xC6,0x1094,ACK
2.786836541666667,70,DATA,0x5D5,0x1,0xC6,0x1894,ACK
2.808836333333333,71,DATA,0x515,0xE,0xC4 0x3D 0x88 0x72 0x93 0xDF 0x67 0xD2,0x6AB0,ACK
2.809898458333334,72,REMOTE,0x1E5CBE57,0xA,,0x0842,ACK
2.828860291666667,73,DATA,0x16D,0x3,0xC4 0x3D 0x88,0x31B8,NAK
2.848841333333333,74,DATA,0x1EA8B10F,0x1,0x08,0x370D,NAK
2.866838666666667,75,DATA,0x555,0x1,0xC6,0x1C94,ACK
2.906839750000000,76,DATA,0x1FA8718C,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
2.926836375000000,77,DATA,0x1FA87188,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
2.966860875000000,78,DATA,0x1EA8718A,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
2.988845041666667,79,REMOTE,0x55A,0xE,,0x318E,NAK
3.006838500000000,80,DATA,0x555,0x1,0xC6,0x1494,ACK
3.026839041666667,81,DATA,0x5D5,0x1,0xC6,0x1C94,ACK
3.046839583333333,82,DATA,0x1EA87189,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
3.086840625000000,83,DATA,0x05F87189,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
3.326843125000000,84,DATA,0x05F8718B,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
3.346843666666667,85,DATA,0x555,0x1,0xC6,0x1E94,ACK
3.366844208333333,86,DATA,0x5D5,0x1,0xC6,0x1194,ACK
3.368843500000000,87,REMOTE,0x1F29710E,0xD,,0x0625,NAK
3.386872083333333,88,REMOTE,0x1FA8718C,0x5,,0x0623,ACK
3.408852375000000,89,DATA,0x1EA8B109,0x1,0x08,0x3708,NAK
3.426845791666667,90,REMOTE,0x05F8718C,0x5,,0x0623,ACK
3.446846333333333,91,DATA,0x575,0x1,0xC6,0x1594,ACK
3.466846875000000,92,DATA,0x5D5,0x1,0xC6,0x1D94,ACK
3.486847416666667,93,REMOTE,0x1FA8718A,0x5,,0x0623,ACK
3.488846666666667,94,DATA,0x05FB318A,0x7,0x0C 0x66 0x10 0xC2 0x10 0x84 0x21,0x0421,ACK
3.506847958333333,95,REMOTE,0x1EA8718E,0x5,,0x0623,ACK
3.546852916666666,96,DATA,0x5D5,0x1,0xC6,0x1994,ACK
3.566849541666667,97,DATA,0x555,0x1,0xC6,0x1194,ACK
3.586850083333333,98,REMOTE,0x1FA8718C,0x5,,0x0623,ACK
3.588849333333333,99,DATA,0x05FB318E,0x7,0x0C 0x66 0x10 0xC2 0x10 0x84 0x21,0x0421,ACK
3.706853291666667,100,REMOTE,0x1EA8718D,0x5,,0x0623,ACK
3.708852541666666,101,DATA,0x515,0xD,0xC4 0x25 0x88 0x62 0x30 0x86 0x10 0x84,0x10CD,ACK
3.726849916666667,102,REMOTE,0x1EA87189,0x5,,0x0623,ACK
3.746873875000000,103,REMOTE,0x1FA8718D,0x5,,0x0623,ACK
3.766850958333333,104,REMOTE,0x05F8718B,0x5,,0x0623,ACK
3.786851500000000,105,DATA,0x575,0x1,0xC6,0x1F28,NAK
3.808851333333333,106,DATA,0x1EABB109,0x1,0x0E,0x2939,NAK
3.809913416666667,107,REMOTE,0x045CA72B,0x5,,0x0421,ACK
3.828855750000000,108,DATA,0x545,0x3,0xC4 0x25 0x88,0x31B8,NAK
3.846853125000000,109,REMOTE,0x1EA87189,0x5,,0x0623,ACK
3.848852375000000,110,DATA,0x555,0x2,0xC4 0x25,0x4421,ACK
3.866853625000000,111,REMOTE,0x05F8718D,0x5,,0x0623,ACK
4.206858791666667,112,REMOTE,0x05F87188,0x5,,0x0623,ACK
4.246863791666667,113,REMOTE,0x1EA8718A,0x5,,0x0623,ACK
4.366863083333334,114,REMOTE,0x1FA87189,0x5,,0x0623,ACK
4.408863416666667,115,DATA,0x5D5,0x2,0xC4 0x35,0x4421,ACK
4.426864666666667,116,DATA,0x575,0x1,0xC6,0x1F28,NAK
4.446888625000000,117,REMOTE,0x05F8718B,0x5,,0x0623,ACK
4.466865750000000,118,DATA,0x5D5,0x1,0xC6,0x1F28,NAK
4.486866291666667,119,REMOTE,0x1EA87189,0x5,,0x0623,ACK
4.666871083333334,120,DATA,0x5D5,0x1,0xC6,0x1894,ACK
4.686867708333334,121,DATA,0x555,0x1,0xC6,0x1094,ACK
