Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
3.589922833333334,117,DATA,0x05F87189,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
3.649947875000000,118,DATA,0x5D5,0x1,0xC6,0x1AA4,ACK
3.689925500000000,119,DATA,0x555,0x1,0xC6,0x1EA4,ACK
3.729926583333333,120,DATA,0x1EA8718F,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
3.749927083333333,121,DATA,0x05F87189,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
3.769927625000000,122,DATA,0x555,0x1,0xC6,0x1AA4,ACK
3.789951583333333,123,DATA,0x575,0x1,0xC6,0x12A4,ACK
3.791950875000000,124,REMOTE,0x1F29710D,0x1,,0x0625,NAK
3.809924791666667,125,DATA,0x5D5,0x1,0xC6,0x1AA4,ACK
3.831924583333334,126,DATA,0x555,0x2,0xC4 0x3B,0x6421,ACK
3.849925833333333,127,DATA,0x05F8718F,0x9,0x0C 0x46 0x10 0x84 0x21 0x08,,
3.889926916666667,128,DATA,0x5D5,0x1,0xC6,0x1EA4,ACK
4.009930083333333,129,DATA,0x05F8718E,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
4.029930625000000,130,DATA,0x575,0x1,0xC6,0x14A4,ACK
4.049931166666667,131,DATA,0x5D5,0x1,0xC6,0x1CA4,ACK
4.069955125000000,132,DATA,0x555,0x1,0xC6,0x10A4,ACK
4.089932250000000,133,DATA,0x1EA8718C,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
4.109932750000000,134,DATA,0x575,0x1,0xC6,0x10A4,ACK
4.131932583333334,135,REMOTE,0x1FAB710E,0x9,,0x0623,ACK
4.149933833333334,136,DATA,0x1EA8718A,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
4.169934375000000,137,DATA,0x1EA8718E,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
4.189934875000000,138,DATA,0x575,0x1,0xC6,0x14A4,ACK
4.209958833333333,139,DATA,0x15F8718E,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
4.231931333333334,140,REMOTE,0x1EABB10E,0x9,,0x0729,NAK
4.232993416666667,141,DATA,0x715,0x2,0xA4 0xB1,0x1421,ACK
4.251931833333333,142,DATA,0x16D,0x3,0xC4 0x3B 0xC8,0x31B8,NAK
4.269933125000000,143,DATA,0x1EA87189,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
4.271932375000000,144,DATA,0x555,0x2,0xC4 0x3B,0x6421,ACK
4.349962583333333,145,DATA,0x1EA8718B,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
